family,propulsion,mission,sweep,agent,seed,termination_reason_mode
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,sac,0,timeout
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,sac,1,timeout
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,sac,2,hardware_failure
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,sac,3,timeout
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,sac,4,timeout
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,sac,5,timeout
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,sac,6,timeout
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,sac,7,timeout
nuclear,ntp_nerva,mars_crew_fast,my_pilot_nuclear,max_thrust,0,out_of_propellant
nuclear,ntp_nerva,mars_crew_fast,my_pilot_nuclear,max_thrust,1,out_of_propellant
nuclear,ntp_nerva,mars_crew_fast,my_pilot_nuclear,max_thrust,2,out_of_propellant
